Question,A,B,C,D,Answer
Tính năng triển khai máy ảo có cấu hình cao yêu cầu hỗ trợ tối thiểu bao nhiêu vCPU và RAM?,32 vCPU và 64 GB RAM,64 vCPU và 128 GB RAM,96 vCPU và 256 GB RAM,128 vCPU và 512 GB RAM,B
Giải pháp tạo máy ảo mới cần hỗ trợ những giao diện nào?,Chỉ giao diện GUI và CLI,"GUI, CLI và API tích hợp với hệ thống khác",CLI và giao diện web portal,GUI và SSH console,B
Tính năng sao lưu/khôi phục máy ảo yêu cầu cho phép lưu tối thiểu bao nhiêu phiên bản khác nhau của một máy ảo?,03 phiên bản,05 phiên bản,07 phiên bản,10 phiên bản,C
Tính năng hỗ trợ khả năng dự phòng cho mạng mà máy ảo kết nối đến phải hoạt động ở chế độ nào để cải thiện băng thông và đảm bảo tính sẵn sàng?,Passive-passive hoặc failover-only,Active-active hoặc active-standby,Read-only hoặc read-write,Clustered hoặc isolated,B
"Khi triển khai máy ảo sử dụng công nghệ tăng tốc (accelerator), giải pháp cần hỗ trợ công nghệ nào sau đây?",PCI Passthrough và SR-IOV,Only Hyper-V Replica,RAID 0 và RAID 1,NAT Traversal và GRE Tunnel,A
Tính năng tích hợp các dịch vụ lưu trữ yêu cầu hỗ trợ những loại lưu trữ nào?,Chỉ block storage,Block storage và tape storage,"Block storage, object storage và file storage",Object storage và cold archive storage,C
Website được yêu cầu hỗ trợ ngôn ngữ nào trong phần yêu cầu về nội dung thông tin?,Tiếng Việt và Tiếng Anh,Chỉ Tiếng Anh,Tiếng Việt,"Tiếng Việt, Nhật và Hàn",C
Module thanh toán của website cho phép khách hàng thanh toán qua cổng nào?,Stripe và Payoneer,"Bảo Kim, Ngân Lượng và PayPal",Momo và ZaloPay,VNPay và Apple Pay,B
"Theo yêu cầu về bảo mật và hiệu suất, website cần đáp ứng điều gì?",Chỉ hoạt động tốt trên thiết bị di động,Tốc độ truy cập cao và hỗ trợ lượng truy cập lớn cùng lúc,Bắt buộc dùng công nghệ điện toán đám mây,Giới hạn số lượng người dùng truy cập đồng thời,B
Công nghệ nào được sử dụng để thiết kế website theo tài liệu?,ASP.NET và SQL Server,Java Spring và Oracle,PHP kết hợp Smarty và MySQL,Python Django và PostgreSQL,C
Chi phí của gói website Pro là bao nhiêu?,"12,000,000 VNĐ","18,000,000 VNĐ","23,800,000 VNĐ","4,800,000 VNĐ",A
"Trong kế hoạch tiến độ, giai đoạn coding và xây dựng database theo yêu cầu kéo dài bao nhiêu ngày?",07 ngày,10 ngày,20 ngày,30 ngày,C
Dịch vụ hậu mãi của hosting bao gồm dung lượng và băng thông nào?,"1,000 MB và 50 GB","2,000 MB và 100 GB","5,000 MB và 200 GB","10,000 MB và không giới hạn băng thông",B
Quy trình quản lý lỗ hổng rà quét bao gồm hoạt động nào sau đây?,Rà quét lỗ hổng,Triển khai hệ thống ERP,Đào tạo nhân sự nội bộ,Mã hóa cơ sở dữ liệu,A
"Trong quy trình quản lý lỗ hổng pentest, hoạt động nào được thực hiện trước khi đóng request?",Lập biên bản ATTT,Mua thiết bị mạng,Khởi tạo tài khoản người dùng,Sao lưu dữ liệu định kỳ,A
"Theo quy trình cập nhật bản vá, bước nào diễn ra ngay sau khi thông báo các bên liên quan?",Tiến hành cập nhật bản vá,Lập báo cáo và lưu thông tin,Lập kế hoạch cập nhật bản vá,Đóng request,C
"Trong quy trình quản lý lỗ hổng rà quét, vai trò nào chịu trách nhiệm phê duyệt kế hoạch xử lý lỗ hổng?",Team ATTT,SO,Ban lãnh đạo,Chăm sóc khách hàng,C
"Theo tài liệu, lỗ hổng mức NGHIÊM TRỌNG có thể dẫn đến hậu quả nào?",Chỉ ảnh hưởng nhỏ đến giao diện người dùng,Có khả năng gây thiệt hại lớn và tạo điều kiện cho tin tặc chiếm quyền điều khiển hệ thống,Không có khả năng gây mất dữ liệu,Chỉ làm chậm tốc độ truy cập mạng nội bộ,B
Đầu vào của quy trình cập nhật bản vá là gì?,Khi có thông tin về bản vá cần cập nhật,Khi người dùng yêu cầu đổi mật khẩu,Khi hệ thống hết dung lượng lưu trữ,Khi phát sinh lỗi phần cứng máy chủ,A
"Trong quy trình Threat Intelligence, nếu ảnh hưởng đến sản phẩm, dịch vụ hoặc IP khách hàng thì cần làm gì?",Tiến hành pentest ngay lập tức,Thông báo khách hàng và kết thúc,Khóa toàn bộ hệ thống nội bộ,Khởi tạo môi trường thử nghiệm mới,B
ATS trong hệ thống điện có chức năng chính nào?,Ổn định điện áp đầu ra cho UPS,Chuyển đổi nguồn tự động sang nguồn dự phòng khi mất nguồn chính,Triệt xung điện áp trên đường dây,Đo điện trở nối đất của hệ thống,B
"Theo tài liệu, MCCB thường có dòng định mức nằm trong khoảng nào?",Iđm ≤ 100A,100A < Iđm < 1000A,Iđm ≥ 1000A,50A < Iđm < 500A,B
Phòng DV TTDL có trách nhiệm gì trong công tác bảo dưỡng máy phát điện?,Thay thế toàn bộ thiết bị điện định kỳ,Phối hợp lập kế hoạch bảo dưỡng định kỳ hàng quý,Kiểm tra chất lượng nhiên liệu hàng ngày,Quản lý hệ thống camera giám sát,B
"Trong hệ thống nhiên liệu của máy phát điện, hạng mục nào được yêu cầu thay mới định kỳ?",Bơm cấp nhiên liệu,Đường dẫn và khớp nối,Lọc dầu,Mức nhiên liệu,C
"Ở hệ thống làm mát, tài liệu yêu cầu kiểm tra nội dung nào sau đây?",Mức nước làm mát,Độ phân giải camera nhiệt,Công suất UPS,Tần số chuyển mạch ATS,A
"Trong phần kiểm tra hệ thống khí thải, nội dung nào được yêu cầu kiểm tra định kỳ?",Màu khí thải,Dung lượng ắc quy,Nhiệt độ phòng máy,Khả năng chống tĩnh điện của sàn,A
"Khi kiểm tra tủ đầu cực, nếu phát hiện cáp bị lỏng thì cần thực hiện hành động nào?",Thay toàn bộ ACB,Ngắt toàn bộ hệ thống điện,Xiết lại các bulong,Thay mới dây cáp động lực,C
"Theo tài liệu, UPS là viết tắt của hệ thống nào?",Hệ thống chuyển nguồn tự động,Hệ thống cấp nguồn AC liên tục,Hệ thống triệt xung điện áp,Hệ thống thông gió lọc bụi,B
Phòng DV TTDL được yêu cầu lập kế hoạch bảo dưỡng UPS/STS định kỳ với tần suất như thế nào?,1 tháng/lần,2 tháng/lần,3 tháng/lần,6 tháng/lần,C
"Trong quy trình bảo dưỡng UPS, công việc nào yêu cầu đo nội trở của battery và có kết quả đánh giá?",Kiểm tra các mối nối và siết lại các mối,Kiểm tra điện áp của các ắc quy khi nạp/xả,Vệ sinh các thiết bị bên trong,Hiệu chỉnh điện áp và tần số bằng phần mềm,B
Kiểm tra B đối với UPS có đặc điểm nào sau đây?,Không cần shutdown UPS và chỉ mất dưới 30 phút,Chỉ thực hiện một lần mỗi năm,Cần shutdown UPS và thời gian thực hiện từ 2 đến 4 tiếng cho mỗi UPS,Chỉ bao gồm vệ sinh bên ngoài thiết bị,C
"Trong bảo dưỡng UPS, nội dung nào yêu cầu thực hiện bằng phần mềm thiết bị chuyên dụng với các ACB kèm theo UPS?",Kiểm tra log file và phân tích log,"Vệ sinh, kiểm tra và hiệu chỉnh các thông số",Đo nội trở của battery,Kiểm tra tình trạng quạt làm mát,B
"Trong phần bảo dưỡng STS, hoạt động nào được mô tả là kiểm tra tác động trong quá trình chuyển mạch STS bằng thiết bị chuyên dụng?",Kiểm tra cáp nguồn vào/ra,Kiểm tra tình trạng của các Switch,Vệ sinh bên ngoài thiết bị,Hiệu chỉnh các thông số điện áp và tần số,B
Kiểm tra A đối với STS được thực hiện với điều kiện nào?,Cần shutdown STS hoàn toàn,Chỉ thực hiện khi thay tụ điện,Không cần shutdown STS,Chỉ áp dụng cho STS mới lắp đặt,C
"Trong hệ thống điện, ATS có chức năng gì khi nguồn chính bị mất?",Ổn định điện áp cho hệ thống UPS,Tự động chuyển sang nguồn dự phòng,Ngắt toàn bộ tải điện để bảo vệ thiết bị,Triệt tiêu xung điện áp trên đường dây,B
"Theo tài liệu, hệ thống tháp giải nhiệt trong hệ chiller sử dụng bao nhiêu quạt?",2 quạt,3 quạt,4 quạt,6 quạt,C
"Trong công tác bảo dưỡng chiller, nội dung nào yêu cầu báo cáo kết quả các vị trí xì?",Kiểm tra mức độ rung bất thường,Thử xì thông thường,Kiểm tra mức gas,Kiểm tra áp lực nước,B
Việc vệ sinh ống đồng bình ngưng tụ bằng phương pháp cơ khí được thực hiện với tần suất nào?,1 lần/năm,2 lần/năm,4 lần/năm,6 lần/năm,C
"Trong hệ thống dàn lạnh, nội dung nào được dùng để kiểm tra mức gas?",Đồng hồ áp suất nước,Sensor đo mức lỏng hoặc kính xem gas,Công tắc dòng chảy,Thiết bị đo nhiệt độ motor,B
"Khi kiểm tra đầu dò nhiệt độ của hệ thống DDC, sai số chấp nhận được phải nằm trong khoảng nào?",+/- 0.5°C,+/- 1°C,+/- 2°C,+/- 5°C,B
"Trong phần kiểm tra hệ thống bôi trơn, nội dung nào sau đây được yêu cầu thực hiện?",Kiểm tra màu dầu và mức dầu,Kiểm tra độ rung của tháp giải nhiệt,Kiểm tra tín hiệu relay UPS,Kiểm tra độ cách nhiệt của dàn ngưng,A
Vina Virtual Private Cloud sử dụng công nghệ nào để tách biệt logic mạng giữa các khách hàng?,Network Function Virtualization (NFV),Software Defined Networking (SDN),Content Delivery Network (CDN),Multi-Protocol Label Switching (MPLS),B
"Trong thành phần Network của vVPC, Elastic IP được sử dụng để làm gì?",Tạo subnet cho hệ thống mạng,Định tuyến giữa các subnet,Gán IPv4 Public cho máy chủ ảo truy cập Internet,Kiểm soát quyền truy cập người dùng IAM,C
Tính năng nào cho phép tự động thêm hoặc xóa máy chủ ảo theo lưu lượng truy cập?,Elastic IP,Autoscale,Security Group,VPC Peering,B
"Theo tài liệu, VPN trong vVPC hỗ trợ những hình thức kết nối nào?",PPTP VPN và L2TP VPN,GRE Tunnel và MPLS VPN,IPSec VPN site-to-site và SSL VPN client-to-site,SSL VPN site-to-site và OpenVPN mesh,C
Khách hàng có thể theo dõi chỉ số nào của máy chủ ảo trên giao diện Web portal?,"RAM, CPU, IOPS và Bandwidth",Nhiệt độ CPU và điện áp nguồn,Độ trễ DNS và tốc độ tải trang,Mức sử dụng GPU và FPS,A
Giải pháp SDN của vVPC hỗ trợ những giao thức định tuyến động nào?,RIP và EIGRP,OSPF và BGP,IS-IS và MPLS,STP và VLAN,B
"Theo bảng so sánh sản phẩm cloud compute, Vina Virtual Private Cloud được cung cấp dưới hình thức nào?",Máy chủ vật lý chuyên dụng,Máy chủ ảo đơn lẻ (Single VM),Cụm tài nguyên (Resource Pool),Container orchestration cluster,C
vCloud Portal cho phép thực hiện thao tác nào trên máy chủ ảo?,"Power off, suspend, reset và tạo snapshot",Cài đặt trực tiếp phần cứng vật lý,Thay đổi firmware BIOS của server vật lý,Quản lý switch mạng vật lý trong datacenter,A
"Để clone một VM bằng chức năng Copy To, điều kiện nào phải được đáp ứng?",VM phải đang chạy và có snapshot,VM phải ở trạng thái Suspend,VM phải ở trạng thái Power off và không chứa snapshot,VM phải được gắn thêm ISO boot,C
Hệ thống snapshot của vCloud Server lưu tối đa bao nhiêu bản snapshot cho mỗi VM?,1 bản snapshot,3 bản snapshot,5 bản snapshot,Không giới hạn số lượng snapshot,A
"Để reset mật khẩu admin của hệ điều hành, máy chủ ảo cần cài đặt thành phần nào?",Docker Engine,Vmware tools hoặc Open-vm-tools,Microsoft IIS,Windows Defender ATP,B
"Trong biểu đồ hiệu suất VM, chỉ số nào biểu thị lượng dữ liệu nhận trung bình mỗi giây?",disk.read.average,cpu.usage.average,net.bytesRx.average,mem.usage.average,C
"Trong cấu hình NAT của vFirewall, DNAT được dùng để làm gì?",Chuyển đổi IP private của server ra IP public,Giới hạn số lượng kết nối đồng thời,Chuyển tiếp lưu lượng từ IP public vào IP private của server,Mã hóa toàn bộ lưu lượng VPN,C
"Trong cấu hình IPsec VPN Site to Site, thuật toán mã hóa nào được hệ thống hỗ trợ?","AES, AES256 và 3DES","RSA, ECC và Blowfish","SHA1, SHA256 và MD5",ChaCha20 và Poly1305,A
"Theo yêu cầu chung của hệ thống CT 64 lát cắt, thiết bị phải đạt tiêu chuẩn nào?",ISO 9001,ISO 27001,ISO 13485,IEC 60601,C
Hệ thống chụp cắt lớp vi tính được mô tả có cấu hình bao nhiêu dãy đầu thu và bao nhiêu lát cắt?,"16 dãy đầu thu, 32 lát cắt","32 dãy đầu thu, 64 lát cắt","64 dãy đầu thu, 128 lát cắt","128 dãy đầu thu, 256 lát cắt",B
Phần mềm nào được sử dụng để giảm nhiễu ảnh giả gây ra bởi các vật liệu cấy ghép?,ClearRay,Bolus Tracking,iDose4,O-MAR,D
"Theo thông số kỹ thuật của gantry, tốc độ quay tối đa 1 vòng/360 độ là bao nhiêu?",0.3 giây,0.5 giây,0.75 giây,1.0 giây,B
Tải trọng tối đa của bàn bệnh nhân trong hệ thống CT là bao nhiêu?,180 kg,200 kg,205 kg,250 kg,C
Bộ đầu thu (Detector) của hệ thống CT sử dụng vật liệu gì?,Silicon tinh thể,Chất bán dẫn GOS,Germanium oxide,Ceramic composite,B
Máy in phim khô của hệ thống có tốc độ in tối thiểu khoảng bao nhiêu phim mỗi giờ với cỡ phim 35x43 cm?,80 phim/giờ,95 phim/giờ,110 phim/giờ,150 phim/giờ,C
Thuật ngữ ADD trong bảo dưỡng máy bay dùng để chỉ trường hợp nào?,Hỏng hóc không thể xử lý ngay và được phép trì hoãn sửa chữa theo điều kiện của tài liệu MEL,Hỏng hóc bắt buộc phải sửa chữa ngay trước khi máy bay tiếp tục khai thác,Hỏng hóc được phép bỏ qua nếu không ảnh hưởng đến hệ thống điện,Hỏng hóc chỉ cần ghi nhận mà không cần theo dõi trong tài liệu bảo dưỡng,A
Tài liệu nào do Nhà chế tạo máy bay ban hành và yêu cầu nhân viên kỹ thuật phải tuân theo khi thực hiện bảo dưỡng máy bay?,Aircraft Maintenance Manual (AMM),Aircraft Maintenance Review Report (AMRR),Aircraft Maintenance Schedule/Programme (AMS/AMP),Configuration Deviation List (CDL),A
Thông báo kỹ thuật bắt buộc (AD) thường được ban hành nhằm mục đích gì?,Chỉ ra một khiếm khuyết kỹ thuật đã được phát hiện hoặc có thể xuất hiện,Hướng dẫn quy trình đào tạo kỹ thuật viên bảo dưỡng định kỳ,Cho phép trì hoãn các công việc sửa chữa ngoài kế hoạch,Quy định mức tiêu hao nhiên liệu tối đa của động cơ,A
Ai là người có nhiệm vụ hỗ trợ các đánh giá viên trong thời gian chuẩn bị và tiến hành đánh giá nhưng ý kiến chỉ mang tính tham khảo?,Assistance auditor,Authorised person,Auditee,Controller,A
CRS-SMI được cấp trong trường hợp nào?,Sau khi hoàn thành một bảo dưỡng định kỳ từ dạng A trở lên,Sau khi hoàn thành bất kỳ sửa chữa nhỏ nào trong khoang hành khách,Khi máy bay đạt tiêu chuẩn xuất xưởng của nhà sản xuất,Khi hoàn tất kiểm tra chống ăn mòn cấu trúc mức 1,A
Khái niệm “Continuing airworthiness” mô tả nội dung nào dưới đây?,Các quá trình đảm bảo máy bay luôn tuân thủ yêu cầu đủ điều kiện bay và an toàn bay trong suốt quá trình khai thác,Hoạt động kiểm tra định kỳ nhằm đánh giá mức tiêu hao nhiên liệu của máy bay,Quy trình cấp phép tạm thời cho nhân viên bảo dưỡng ngoài phạm vi được phê chuẩn,Hệ thống quản lý phụ tùng tiêu hao và vật liệu sửa chữa máy bay,A
"Theo định nghĩa trong tài liệu, “Critical task” là loại công việc nào?",Công việc bảo dưỡng liên quan đến tháo/lắp nhiều hơn một thiết bị cùng loại trên hai hoặc nhiều hệ thống máy bay,Công việc sửa chữa khẩn cấp phải hoàn thành trong vòng 24 giờ,Công việc bảo dưỡng chỉ được thực hiện bởi Nhà chức trách hàng không,Công việc thay thế vật liệu tiêu hao trong quá trình bảo dưỡng định kỳ,A
Tiêu chuẩn nào quy định về công trình xây dựng và tổ chức thi công?,TCVN 4055:2012,TCVN 4091:1985,TCVN 4252:2012,TCVN 5637:1991,A
"Tiêu chuẩn nào quy định phương pháp đo kiểm công trình và cấu kiện chế sẵn, Phần 1 là phương pháp và dụng cụ đo?",TCVN 9262-1:2012,TCVN 9262-2:2012,TCVN 9259-8:2012,TCVN 9261:2012,A
"Nếu cần tham khảo tiêu chuẩn về công tác đất, thi công và nghiệm thu thì nên dùng mã nào?",TCVN 4447:2012,TCVN 9361:2012,TCVN 9394:2012,TCVN 7201:2015,A
Tiêu chuẩn nào liên quan đến xử lý nền đất yếu bằng phương pháp cố kết hút chân không có màng kín khí?,TCVN 9842:2013,TCVN 9844:2013,TCVN 10379:2014,TCVN 9355:2012,A
Mã tiêu chuẩn nào áp dụng cho kết cấu bê tông và bê tông cốt thép toàn khối về quy phạm thi công và nghiệm thu?,TCVN 4453:1995,TCVN 4452:1987,TCVN 5724:1993,TCVN 9342:2012,A
Tiêu chuẩn nào hướng dẫn kỹ thuật phòng chống nứt cho kết cấu bê tông và bê tông cốt thép dưới tác động của khí hậu nóng ẩm?,TCVN 9345:2012,TCVN 9344:2012,TCVN 9343:2012,TCVN 9348:2012,A
Tiêu chuẩn nào quy định yêu cầu an toàn về cấu tạo và lắp đặt đối với thang máy thủy lực?,TCVN 6396-2:2009,TCVN 6395:2008,TCVN 6396-3:2010,TCVN 5867:2009,A
Máy X-quang đo độ loãng xương sử dụng công nghệ nào?,Công nghệ DXA toàn thân (Hấp thu tia X năng lượng kép),Công nghệ MRI cộng hưởng từ toàn thân,Công nghệ CT đa lát cắt,Công nghệ siêu âm Doppler màu,A
Thời gian quét xương đùi tối đa của máy đo độ loãng xương là bao nhiêu?,≤ 25 giây (± 2 giây),≤ 30 giây (± 2 giây),≤ 23 giây (± 2 giây),≤ 45 giây (± 5 giây),A
Liều bức xạ tối đa cho phép khi đo toàn thân là bao nhiêu?,≤ 0.55 uGy,≤ 2.06 uGy,≤ 7.52 uGy,≤ 8.28 uGy,A
Diện tích vùng quét tối thiểu cho toàn cơ thể của hệ thống DXA là bao nhiêu?,≥ 580mm x 1995mm,≥ 160mm x 189mm,≥ 240mm x 420mm,≥ 120mm x 147mm,A
Loại cảm biến ảnh được sử dụng trong bộ nhận ảnh của máy là gì?,CdTe (Tinh thể Cadmium Telluride),CMOS Silicon đa lớp,CCD đơn sắc,a-Si Flat Panel Detector,A
Máy in màu trong trạm làm việc yêu cầu tốc độ in đen trắng tối thiểu bao nhiêu?,≥ 25 tờ/phút,≥ 15 tờ/phút,≥ 12 tờ/phút,≥ 30 tờ/phút,A
Hệ thống tán sỏi ngoài cơ thể sử dụng công nghệ nào để xác định vị trí sỏi?,Sóng xung kích kết hợp đĩa từ định vị X-Quang,Laser Holmium kết hợp siêu âm Doppler,CT Scan thời gian thực,Sóng RF kết hợp camera nội soi,A
Hệ thống nội soi tiêu hóa ống mềm video yêu cầu màn hình y tế chuyên dụng kích thước bao nhiêu?,27 inches,24 inches,32 inches,19 inches,A
Bộ xử lý hình ảnh của hệ thống nội soi cần hỗ trợ tối thiểu bao nhiêu chế độ hình ảnh tăng cường?,≥ 4 chế độ,≥ 2 chế độ,≥ 6 chế độ,≥ 8 chế độ,A
Tuổi thọ tối thiểu yêu cầu của nguồn chiếu sáng LED trong hệ thống nội soi là bao nhiêu?,≥ 10.000 giờ,≥ 5.000 giờ,≥ 15.000 giờ,≥ 20.000 giờ,A
Ống soi dạ dày video yêu cầu khả năng phóng đại tối đa bao nhiêu lần khi kết hợp màn hình tương thích?,≥ 100 lần,≥ 90 lần,≥ 70 lần,≥ 120 lần,A
Đường kính ngoài đầu cuối của ống soi dạ dày được yêu cầu tối đa là bao nhiêu?,≤ 9.9 mm,≤ 12.8 mm,≤ 13.2 mm,≤ 8.5 mm,A
Độ uốn cong tối thiểu theo hướng lên của đầu ống soi dạ dày là bao nhiêu?,≥ 210°,≥ 180°,≥ 100°,≥ 90°,A
Ống soi đại tràng video yêu cầu khả năng phóng đại tối đa bao nhiêu lần khi kết hợp màn hình tương thích?,≥ 90 lần,≥ 100 lần,≥ 70 lần,≥ 120 lần,A
