question_index,question,llm_answer,gt_answer,is_correct,context_tokens
242,"Dựa trên tài liệu Public_051, khái niệm nào không thuộc về thuật toán sinh?",D,D,✓,464
243,Nội dung của tài liệu Public_051 không bao gồm bài toán nào?,D,D,✓,141
244,Số hoán vị của N phần tử phân biệt là bao nhiêu và giá trị tương ứng khi N = 3 là?,A,A,✓,106
245,Đâu là cốt lõi của thuật toán đệ quy?,C,C,✓,409
246,"Bài toán liệt kê xâu nhị phân độ dài 6 phải trải qua bao nhiêu cấu hình, nếu biết số cấu hình cho độ dài n là 2^n?",B,B,✓,93
247,Đâu không phải một ví dụ duyệt được thực hiện bởi quay lui?,D,D,✓,406
248,"Trong bài toán N quân hậu, quân hậu ở hàng thứ i phải thỏa mãn điều gì?",D,D,✓,309
249,"Theo tài liệu Public_052, tên của thủ tục tiền xử lý và thủ tục chạy quay lui được gọi trong hàm main() lần lượt là gì?",C,C,✓,114
250,"Làm thế nào để áp dụng thuật toán quay lui để duyệt hoặc sinh ra một số tập con K phần tử cụ thể, thay vì duyệt toàn bộ các tập con K phần tử?",B,B,✓,632
251,Những điều kiện tiên quyết nào áp dụng cho việc sắp xếp dữ liệu?,A,A,✓,378
252,Vai trò của sắp xếp đối với hiệu quả của quá trình tìm kiếm dữ liệu là gì?,B,B,✓,502
253,Cho biết số lượng thuật toán sắp xếp đơn giản được trình bày trong tài liệu Public_053 và tên của chúng?,A,A,✓,245
254,Độ phức tạp nhỏ nhất của Insertion Sort là?,B,C,✗,81
255,"Theo tài liệu Public_054, hành động chính của Bubble Sort là gì?",B,B,✓,330
256,Đâu không phải một cách chọn khóa (pivot) điển hình trong Quick Sort,B,B,✓,182
257,"Trong heap, chỉ số node con trái và phải của node x lần lượt là? (node gốc có chỉ số 0)",C,C,✓,144
258,Đâu là cấu trúc heap ta nên dùng nếu muốn sắp xếp mảng giảm dần?,A,A,✓,297
259,Đâu là điểm chung giữa Merge Sort và Quick Sort? Chọn một đáp án,C,C,✓,220
260,Đâu không phải thuật toán tìm kiếm được nêu trong tài liệu?,C,C,✓,225
261,"Theo tài liệu Public_055, thuật toán đơn giản nhất trong bốn thuật toán được trình bày là gì?",D,D,✓,234
262,"Trong ngữ cảnh của tài liệu Public_055, kết quả trả về cụ thể (ví dụ: mã trạng thái, cấu trúc dữ liệu, giá trị) khi tìm kiếm 'thấy' và 'không thấy' một mục lần lượt là gì?",C,C,✓,356
263,Nhận định nào sau đây không đúng dựa trên nội dung của tài liệu Public_055?,B,B,✓,532
264,"Dựa trên thông tin trong tài liệu Public_055 về tìm kiếm nhị phân hoàn thành trong logN bước, cho biết mảng đã sắp xếp gồm 2^8 phần tử sẽ cần bao nhiêu bước?",A,A,✓,234
265,"Theo tài liệu Public_056, thao tác nào dưới đây không được liệt kê là một thao tác cơ bản trên linked list?",C,C,✓,234
266,Một node của danh sách liên kết đơn có mấy trường?,A,A,✓,112
267,Tên của thao tác cập nhật và tìm kiếm một node trong cấu trúc dữ liệu lần lượt là gì?,D,D,✓,566
268,Đâu không phải là đặc điểm của linked list?,D,A,✗,420
269,"Muốn cập nhật trong linked list phần tử thứ 5 với giá trị 7, ta cần nhập vào khi gọi update() thứ tự giá trị nào cho pos và val?",B,B,✓,109
270,"Theo tài liệu Public_057, đâu không phải là một loại đồ thị được phân loại ở cấp dưới trong hệ thống phân loại đồ thị của tài liệu?",C,C,✓,433
271,Đồ thị được tạo thành bằng cách bổ sung một đỉnh nối với mọi đỉnh của đồ thị C_n được ký hiệu là?,A,A,✓,82
272,Tên gọi riêng cho đỉnh bậc 0 và đỉnh bậc 1 trong đồ thị vô hướng là?,B,B,✓,117
273,Tài liệu Public_057 mô tả những cách biểu diễn đồ thị nào?,D,"A,C,D",✗,430
274,"Theo tài liệu `Public_057`, đồ thị bánh xe có bao nhiêu cạnh?",A,C,✗,181
275,"Theo tài liệu Public_058, đâu là một tên gọi khác của kiểm thử chức năng?",B,B,✓,138
276,Tập S biểu diễn các mẫu hành vi hoặc đặc tính động lực học như thế nào?,A,A,✓,492
277,"Trong tài liệu Public_058, các hành vi ""được đặc tả"" và ""được kiểm thử"" được định nghĩa thuộc tập nào?",D,D,✓,293
278,"So sánh kiểm thử hộp trắng và kiểm thử hộp đen, phương pháp nào ưu việt hơn?",C,C,✓,508
279,"Theo tài liệu Public_058, theo mô hình biểu đồ Venn, thiết kế kiểm chứng nên rơi vào miền nào nhiều nhất?",A,A,✓,374
280,"Theo tài liệu Public_059, kiểm thử tích hợp tập trung vào vấn đề gì?",B,B,✓,457
281,"Theo tài liệu Public_059, đâu không phải là một hình thức giao diện giữa nhiều module?",B,B,✓,182
282,"Ngoài hai cách ghép module thông dụng là top down, bottom up thì còn mấy phương pháp và tên của chúng là?",C,C,✓,162
283,Nội dung nào không được đề cập trong tài liệu Public_059?,D,D,✓,378
284,Đoạn code ngắn sau định nghĩa giao diện hàm (function interface) như thế nào?,A,A,✓,401
285,Chương Public_060 sẽ đi qua bao nhiêu ví dụ?,B,C,✗,142
286,"Có tất cả bao nhiêu cách để đi đến nút ""Not A Triangle"" trong bài toán Tam giác, theo tài liệu?",B,B,✓,196
287,"Trong bài toán Ngày kế tiếp, sự phân bố của những loại thực thể nào thường gây ra vấn đề, và liệu việc xác định một thực thể có phụ thuộc vào các thực thể khác không?",A,C,✗,294
288,"Theo tài liệu Public_060, đâu không phải một yếu tố khiến bài toán Tam giác được đề cập trong đó trở nên phổ biến?",D,A,✗,389
289,"Kết quả kiểm tra xem bộ ba số (3, 4, 5) có tạo thành tam giác vuông hay không?",A,C,✗,201
290,Người kiểm thử cần quan tâm điều gì liên quan đến đặc tả được đề cập trong tài liệu Public_061?,"B,C",A,✗,613
291,Đâu không phải nguyên tắc cốt lõi của khảo sát đặc tả mức cao theo tài liệu Public_061?,A,D,✗,302
292,"Mục đích của từ ""luôn luôn"" và ""nào đó"", theo danh sách thẩm định thuật ngữ trong tài liệu Public_061, là hàm ý tính không mơ hồ và tính kiểm chứng của đặc tả?",C,C,✓,310
293,Nhận định nào là chính xác về việc kiểm thử đặc tả mức thấp? Chọn hai nhận định,C,"B,C",✗,512
294,Đâu không phải một thuật ngữ nhập nhằng trong đặc tả?,D,C,✗,356
295,Giả định cơ bản nào được áp dụng trong kiểm thử giá trị biên?,C,C,✓,462
296,Kiểm thử giá trị biên tổ hợp có công thức số ca kiểm thử là hàm số như nào?,D,"A,B,C,D",✗,364
297,Ký hiệu của cận biên max và cận biên min theo tài liệu Public_062 là gì?,D,A,✗,162
298,"Trong kiểm thử giá trị biên, thông thường có bao nhiêu giá trị kiểm thử cụ thể được lựa chọn xung quanh mỗi giới hạn?",A,A,✓,208
299,"Giả sử một hàm ba biến f(x1, x2, x3) được đem ra kiểm thử giá trị biên, hỏi một ca kiểm thử gốc sẽ cho ra bao nhiêu ca kiểm thử dẫn xuất?",B,C,✗,224
300,Bảng quyết định gồm hai yếu tố chính có tên là?,A,A,✓,112
301,"Theo tài liệu Public_063, giá trị điều kiện chỉ bó buộc trong T/F, nhận định này đúng hay sai?",B,B,✓,240
302,"Trong một hệ thống ký hiệu quy trình hoặc trạng thái, ký hiệu cho điều kiện kích hoạt và hành động thực thi lần lượt là gì?",A,A,✓,176
303,Tiền đề để sử dụng dấu gạch nối (-) trong văn bản kỹ thuật?,C,C,✓,325
304,"Đâu là tổ hợp biểu diễn một quy tắc có trạng thái điều kiện lần lượt là (đúng, đúng, tùy ý, sai)?",B,B,✓,390
305,"Theo tài liệu Public_064, yếu tố quan trọng nhất của kiểm thử hộp trắng là gì?",A,A,✓,312
306,Dòng điều khiển được mô hình hóa bằng các phương pháp hoặc mô hình cụ thể nào?,B,B,✓,453
307,"Trong tài liệu Public_064, có bao nhiêu độ đo được quyết định chỉ dựa trên câu lệnh rẽ nhánh; đó là những độ đo nào?",D,B,✗,273
308,"Theo tài liệu Public_064, có tất cả bao nhiêu độ đo kiểm thử?",C,C,✓,196
309,"Xét hàm sau:
if (a == 0) return 0;
if (a == b) return 1;
return 2;
Cần bao nhiêu ca kiểm thử để đảm bảo 100% độ phủ cho độ đo C1?",B,A,✗,157
310,Đâu không phải một yếu tố giúp xác định lát cắt được đề cập trong tài liệu Public_065?,D,D,✓,389
311,"Trong tài liệu Public_065, bối cảnh ""các đoạn câu lệnh"" hàm ý gì?",D,A,✗,393
312,"Trong xây dựng lát cắt, câu lệnh dạng I-def và I-use đối với biến v sẽ được xử lý như nào? (Trả lời đúng thứ tự)",D,B,✗,337
313,Hình thức sử dụng biến nào không bao giờ nằm trong lát cắt của biến đó?,B,B,✓,345
314,Câu lệnh `int temp = 31415;` thuộc loại khai báo và khởi tạo biến nào?,B,B,✓,214
315,Mục tiêu của mô hình trong kiểm thử dựa trên mô hình?,A,A,✓,324
316,Đâu không phải một cách biểu diễn một mô hình máy học?,D,D,✓,481
317,FSM và DFA được biểu diễn bằng bộ mấy thành phần?,B,B,✓,201
318,"Thứ tự của quy trình kiểm tra mô hình? Sắp xếp các bước sau.
1. Sử dụng mô hình tạo ca kiểm thử
2. Chạy kịch bản kiểm thử
3. Đối chiếu kết quả kiểm thử
4. Đánh giá và phản hồi",B,B,✓,322
319,Điểm nào dưới đây là điểm chung cho hầu hết các hình thức biểu diễn mô hình dữ liệu?,D,C,✗,473
320,Đâu là nhân tố đóng góp vào việc phát triển kiểm thử tự động,D,D,✓,590
321,Lý do nào không phải thách thức dẫn đến việc đầu tư cao độ vào phát triển công cụ tìm lỗi và kiểm thử tự động?,C,C,✓,432
322,Có bao nhiêu bước phân tích trong quy trình được mô tả trong tài liệu Public_067 và tên của chúng là gì?,A,B,✗,252
323,"Theo tài liệu Public_067, kiến trúc kiểm thử tự động bao gồm những yếu tố nào?",D,D,✓,400
324,"Trong kiểm thử dựa trên mô hình, những hoạt động nào không được tự động tạo ra từ mô hình mà do con người thực hiện?",A,C,✗,326
325,"Trong giai đoạn tiền xử lý dữ liệu hình ảnh cho hệ thống thị giác máy tính, kỹ thuật nào giúp giảm nhiễu và tăng độ tương phản?","A,C",C,✗,420
326,Mục tiêu chính của việc chia tập dữ liệu theo tỉ lệ 70/15/15 trong huấn luyện mô hình là gì?,B,B,✓,302
327,"Hãy phân tích các bước then chốt trong toàn bộ vòng đời hệ thống thị giác máy tính công nghiệp, từ thu thập dữ liệu hình ảnh đến triển khai và bảo trì, đồng thời nêu rõ vai trò của chuẩn hóa định dạng dữ liệu và kỹ thuật Edge Computing.",A,A,✓,730
328,Kiến trúc tổng thể của giải pháp thị giác máy tính công nghiệp gồm những giai đoạn chính nào?,A,A,✓,292
329,"Nếu môi trường sản xuất thay đổi ánh sáng thường xuyên nhưng không cập nhật mô hình, hậu quả nào dưới đây có khả năng xảy ra nhất?",B,B,✓,274
330,"Theo tài liệu Public_069, những đặc điểm quan trọng nào của dữ liệu chuỗi thời gian cần được xem xét trong việc dự báo?",C,C,✓,424
331,"Khi thu thập dữ liệu với tần suất cao (high-frequency), thách thức lớn nhất thường là gì?",A,B,✗,369
332,"Trình bày quy trình tổng thể để xây dựng hệ thống quản lý dữ liệu chuỗi thời gian từ khâu xác định nguồn, thu thập, tiền xử lý đến lưu trữ và mở rộng; đồng thời giải thích tầm quan trọng của đồng bộ NTP và chiến lược partitioning.",A,A,✓,741
333,"Theo tài liệu Public_069, chuỗi thời gian được lưu trữ hiệu quả thường sử dụng hệ thống hoặc định dạng nào?",D,D,✓,197
334,"Nếu dữ liệu chuỗi thời gian từ nhiều cảm biến tương quan với nhau được nhóm lại và nén (multi-series group compression), lợi ích nào có thể có được?",A,A,✓,417
335,Thành phần nào trong kiến trúc 5G cho phép chia mạng thành nhiều “lát” phục vụ các dịch vụ khác nhau?,B,B,✓,158
336,Công nghệ nào giúp tập trung tín hiệu và tăng hiệu quả sử dụng phổ tần trong 5G?,C,C,✓,234
337,"Hãy mô tả đầy đủ các thành phần kiến trúc chính của mạng 5G, phương pháp triển khai và các cơ chế quản lý dịch vụ & bảo mật, đồng thời nêu rõ vai trò của network slicing và điện toán biên (MEC).",A,A,✓,676
338,Phương pháp nào giúp giảm chi phí đầu tư và cho phép nhiều nhà cung cấp thiết bị tham gia triển khai hạ tầng 5G?,D,D,✓,317
339,"Trong quản lý chất lượng dịch vụ 5G, nhóm dịch vụ nào phù hợp nhất cho truyền video 8K và VR?",B,B,✓,254
340,Giao thức nào thường được dùng cho thiết bị IoT tiết kiệm băng thông và nhẹ?,B,B,✓,216
341,"Theo tài liệu Public_071, phương pháp nào cho phép cập nhật firmware hàng loạt mà không cần tiếp cận vật lý thiết bị?",C,C,✓,102
342,"Trình bày kiến trúc đa lớp và quy trình quản lý mạng IoT quy mô hàng triệu thiết bị, đồng thời giải thích cách bảo mật đa tầng (từ thiết bị đến truyền thông) và cơ chế giám sát–phản ứng sự cố.",A,A,✓,726
343,"Để bảo vệ dữ liệu trong quá trình truyền, lớp bảo mật nào nên được áp dụng cho kết nối TCP/UDP?",B,B,✓,326
344,Việc phân nhóm thiết bị IoT theo vị trí địa lý và mức độ quan trọng giúp đạt mục tiêu chính nào?,A,A,✓,322
345,"Theo tài liệu Public_072, DRL là sự kết hợp của những lĩnh vực nào?",B,B,✓,198
346,Thành phần nào đóng vai trò đưa ra hành động trong DRL?,C,C,✓,329
347,"Mô tả quy trình xây dựng hệ thống DRL cho robot công nghiệp từ kiến trúc thành phần đến thuật toán, đồng thời nêu các ứng dụng tiêu biểu và thách thức triển khai thực tế.",A,A,✓,666
348,Ưu điểm lớn nhất của việc mô phỏng trước khi triển khai trên robot thực là gì?,A,A,✓,292
349,"Giả sử một robot đã học thành công trong môi trường mô phỏng nhưng thất bại khi hoạt động thực tế, nguyên nhân hợp lý nhất là gì?",B,B,✓,332
350,"Theo tài liệu Public_073, ưu điểm nổi bật nhất của Federated Learning trong y tế là gì?",B,B,✓,224
351,Thuật toán tổng hợp trọng số phổ biến trong FL là gì?,C,C,✓,252
352,"Hãy phân tích nguyên lý hoạt động của Federated Learning và các kỹ thuật bảo mật nâng cao, đồng thời nêu lợi ích và thách thức khi áp dụng trong môi trường y tế đa cơ sở.",A,A,✓,758
353,Thách thức lớn nhất khi các bệnh viện có đặc điểm dữ liệu khác nhau là gì?,D,D,✓,406
354,"Giả sử một bệnh viện có hạ tầng yếu, vấn đề chính khi tham gia FL là gì?",C,C,✓,456
355,Đơn vị thông tin cơ bản trong điện toán lượng tử là gì?,B,B,✓,264
356,Thuật toán nào thường dùng để tối ưu hóa tổ hợp trong mạng 6G?,B,C,✗,276
357,"Trình bày cách điện toán lượng tử hỗ trợ giải các bài toán tối ưu trong mạng 6G, mô tả các thuật toán lượng tử tiêu biểu và kiến trúc triển khai thực tế.",A,A,✓,710
358,Hình thức triển khai nào cho phép trạm gốc 6G sử dụng tài nguyên lượng tử từ xa?,A,A,✓,189
359,"Theo tài liệu Public_074, giải pháp khả thi nhất cho mạng lượng tử khi chưa đủ qubit là gì?",C,C,✓,274
360,Pin nào sử dụng chất điện phân rắn thay cho lỏng?,B,B,✓,216
361,Ưu điểm nổi bật của pin Sodium-Ion là gì?,C,C,✓,342
362,"Hãy trình bày các công nghệ pin thế hệ mới cho lưới điện thông minh, nêu ưu nhược điểm từng loại và vai trò của AI trong khám phá vật liệu và điều độ năng lượng.",A,A,✓,688
363,Thách thức lớn của pin Li-S là gì?,A,A,✓,233
364,Lợi ích chính của việc tích hợp pin vào lưới điện thông minh là gì?,B,B,✓,353
365,Phương pháp truyền thống nào đã trở nên kém hiệu quả trước tấn công mạng hiện đại?,A,A,✓,305
366,Mô hình AI nào được thảo luận trong tài liệu Public_076 phù hợp phát hiện tấn công chuỗi thời gian như DDoS?,C,C,✓,197
367,"Trình bày kiến trúc tổng thể và các kỹ thuật AI chủ chốt trong hệ thống phát hiện – ứng phó sự cố an ninh mạng, đồng thời giải thích vai trò của học sâu và khả năng phản ứng tự động.",A,A,✓,824
368,Thách thức nào đặc thù khi huấn luyện AI cho an ninh mạng?,D,D,✓,544
369,"Theo tài liệu Public_076, giải pháp nào cho phép nhiều tổ chức cùng huấn luyện mô hình mà không chia sẻ dữ liệu thô?",A,A,✓,81
370,Ưu điểm cốt lõi của blockchain trong chuỗi cung ứng là gì?,B,B,✓,449
371,"Trong công nghệ blockchain, thành phần nào đảm bảo các khối không thể chỉnh sửa?",C,C,✓,293
372,"Mô tả nguyên lý hoạt động của blockchain và cách nó giải quyết minh bạch, chống giả mạo trong chuỗi cung ứng, đồng thời nêu thách thức triển khai.",A,A,✓,625
373,Giải pháp nào giúp bảo vệ dữ liệu nhạy cảm trên blockchain?,D,D,✓,441
374,"Theo tài liệu Public_077, công nghệ nào kết hợp với blockchain để tự động ghi dữ liệu môi trường?",C,C,✓,98
375,Điện toán biên giải quyết vấn đề độ trễ trong nhà máy thông minh như thế nào?,C,C,✓,481
376,Ưu điểm nổi bật nhất của Edge Computing so với Cloud Computing truyền thống là gì?,B,B,✓,402
377,"Giải thích nguyên lý hoạt động, kiến trúc và lợi ích của Edge Computing trong các ứng dụng thời gian thực công nghiệp, kèm các ví dụ tiêu biểu.",A,A,✓,774
378,"Nếu kết nối Internet bị gián đoạn, hệ thống Edge sẽ phản ứng thế nào?",A,A,✓,348
379,Lợi ích bảo mật lớn nhất của Edge Computing trong môi trường sản xuất là gì?,C,C,✓,210
380,Điểm mạnh lớn nhất của CNN trong phân tích ảnh y tế là gì?,B,B,✓,504
381,Mạng nào chuyên biệt cho bài toán phân đoạn ảnh y tế?,C,C,✓,194
382,"Phân tích nguyên lý, cấu trúc mạng CNN và lợi ích khi áp dụng trong phân tích ảnh y tế, nêu các ứng dụng điển hình.",A,A,✓,666
383,Thách thức lớn khi triển khai mạng nơ-ron tích chập (CNN) trong bệnh viện là gì?,A,A,✓,516
384,Một xu hướng mới giúp mạng nơ-ron tích chập đảm bảo quyền riêng tư dữ liệu y tế là gì?,B,B,✓,224
385,Lợi ích lớn nhất của Generative AI trong thiết kế thuốc là gì?,B,B,✓,414
386,"Theo tài liệu Public_080, mô hình nào thường dùng để sinh phân tử mới?",C,C,✓,261
387,"Trình bày vai trò của Generative AI và các mô hình điển hình trong thiết kế thuốc, đồng thời nêu ứng dụng thực tế.",A,A,✓,728
388,Thách thức quan trọng nhất khi đưa phân tử do AI tạo ra vào thực nghiệm là gì?,D,D,✓,262
389,Xu hướng nào giúp nhiều tổ chức cùng huấn luyện mô hình AI mà vẫn giữ bí mật dữ liệu hóa học?,B,B,✓,280
390,Đặc điểm nào khiến GNN phù hợp cho dữ liệu vật liệu?,B,B,✓,392
391,"Từ tài liệu Public_081, những ứng dụng nào là điểm mạnh của GNN trong khoa học vật liệu?",C,C,✓,296
392,"Giải thích cách GNN biểu diễn vật liệu, cơ chế message passing và các ứng dụng trong dự đoán tính chất vật liệu mới.",A,A,✓,545
393,Thách thức chính khi dùng GNN trong khám phá vật liệu là gì?,A,A,✓,248
394,Hướng phát triển tương lai đầy tiềm năng của GNN trong vật liệu là gì?,B,B,✓,542
395,Tại sao HPC cần thiết cho mô phỏng khí hậu toàn cầu?,B,B,✓,645
396,Thành phần phần cứng cốt lõi nào giúp hệ thống HPC tối ưu hóa xử lý song song?,C,C,✓,360
397,"Trình bày kiến trúc HPC và vai trò trong mô phỏng khí hậu, dự báo thời tiết cực đoan, nêu công nghệ hỗ trợ.",A,A,✓,641
398,Thách thức lớn nhất về vận hành siêu máy tính khí hậu là gì?,A,A,✓,305
399,Xu hướng tương lai giúp tăng tốc mô phỏng khí hậu là gì?,B,B,✓,468
400,Đặc điểm nào nổi bật nhất của 6G so với 5G?,B,B,✓,548
401,Dải tần nào sẽ được khai thác chủ yếu trong 6G?,C,C,✓,212
402,"Giải thích đặc trưng cốt lõi của 6G và vai trò AI trong tối ưu và bảo mật mạng, nêu các ứng dụng tiêu biểu.",A,A,✓,772
403,Ứng dụng nào cần 6G để đạt độ trễ siêu thấp?,A,A,✓,260
404,Thách thức chính khi triển khai 6G là gì?,B,B,✓,473
405,Cảm biến nào cung cấp bản đồ 3D chính xác cho xe tự hành?,B,B,✓,166
406,Kỹ thuật nào giúp hợp nhất dữ liệu từ nhiều cảm biến khác nhau nhằm nâng cao độ chính xác và độ tin cậy của thông tin?,C,C,✓,305
407,"Mô tả các thành phần cảm biến, thuật toán và thách thức của hệ thống thị giác máy tính thế hệ tiếp theo cho xe tự hành.",A,A,✓,560
408,Thách thức quan trọng nhất đối với xử lý thời gian thực trong xe tự hành là gì?,A,A,✓,392
409,"Theo tài liệu Public_084, xu hướng tương lai nào cho phép xe giao tiếp trực tiếp với hạ tầng giao thông?",B,B,✓,201
410,Kỹ thuật nào cho phép robot học từ phản hồi môi trường để tối ưu hành động?,B,B,✓,313
411,Cảm biến nào giúp robot điều chỉnh lực cầm nắm chính xác?,D,D,✓,114
412,"Nêu chi tiết cách các cơ chế học của robot công nghiệp tự học được áp dụng để cải thiện thuật toán lập kế hoạch đường đi trong môi trường nhà máy thông minh, kèm theo các ví dụ thực tiễn.",A,A,✓,777
413,Thách thức quan trọng khi triển khai robot tự học là gì?,C,C,✓,452
414,Phương pháp nào giảm chi phí huấn luyện robot trong thế giới thực?,B,B,✓,368
415,"Theo tài liệu Public_086, lợi ích lớn nhất của AI trong quản lý năng lượng tái tạo là gì?",B,B,✓,337
416,Công nghệ nào cho phép xử lý dữ liệu nhanh ngay tại nguồn phát sinh?,C,C,✓,334
417,"Phân tích vai trò của AI trong dự báo, tối ưu và điều phối năng lượng tái tạo cho thành phố thông minh, đồng thời nêu rõ hạ tầng công nghệ hỗ trợ.",A,A,✓,673
418,Thách thức chính trong việc triển khai AI quản lý năng lượng tái tạo là gì?,A,A,✓,377
419,Xu hướng nào cho phép giao dịch điện năng trực tiếp giữa các hộ dân?,B,B,✓,393
420,Yếu tố chính khiến AI quan trọng trong giám sát chất lượng không khí đô thị?,B,B,✓,424
421,Công nghệ nào kết hợp dữ liệu cảm biến và vệ tinh để dự đoán ô nhiễm?,D,D,✓,333
422,Mô tả kiến trúc cảm biến và vai trò của trí tuệ nhân tạo (AI) trong dự báo và phát hiện bất thường về chất lượng không khí đô thị.,A,A,✓,764
423,"Theo tài liệu Public_087, thách thức lớn khi triển khai hệ thống AI giám sát không khí là gì?",A,A,✓,218
424,Những công nghệ hoặc phương pháp luận tương lai nào hỗ trợ việc thử nghiệm chính sách môi trường trong mô hình ảo?,B,B,✓,484
425,Lợi thế lưu trữ của DNA so với ổ cứng truyền thống là gì?,B,B,✓,260
426,Quá trình nào trong DNA đóng vai trò như cổng logic trong tính toán sinh học?,C,C,✓,306
427,"Giải thích nguyên lý tính toán dựa trên DNA và các ứng dụng nổi bật trong y sinh học, đồng thời nêu ưu thế so với máy tính silicon.",A,A,✓,582
428,Thách thức lớn nhất của biocomputing hiện nay là gì?,A,A,✓,284
429,Xu hướng nào cho phép kết hợp ưu điểm của điện tử và DNA?,B,B,✓,248
430,Hiện tượng nào đặc trưng của vật liệu siêu dẫn?,B,B,✓,220
431,Hợp chất nào đã cho thấy siêu dẫn gần nhiệt độ phòng khi nén áp suất cao?,C,C,✓,166
432,Tài liệu Public_089 trình bày những tiến bộ nào trong việc đạt siêu dẫn nhiệt độ phòng?,A,A,✓,246
433,Thách thức lớn nhất để thương mại hóa siêu dẫn nhiệt độ phòng?,D,D,✓,344
434,Công nghệ nào hỗ trợ khám phá vật liệu siêu dẫn mới nhanh hơn?,B,B,✓,242
435,Điểm khác biệt cốt lõi của máy tính neuromorphic so với kiến trúc Von Neumann là gì?,B,B,✓,465
436,"Trong các mạng thần kinh nhân tạo, thành phần nào đóng vai trò tương tự synapse sinh học?",C,C,✓,146
437,"Mô tả kiến trúc và nguyên lý của máy tính neuromorphic lấy cảm hứng từ não người, so sánh với kiến trúc Von Neumann và nêu ứng dụng AI.",A,A,✓,548
438,Ứng dụng nào nổi bật của chip neuromorphic trong y tế?,A,A,✓,384
439,Thách thức lớn nhất trong thương mại hóa chip neuromorphic hiện nay là gì?,A,A,✓,272
440,Điểm khác biệt lớn nhất của pin thể rắn so với pin lithium-ion truyền thống là gì?,B,B,✓,341
441,Ưu điểm quan trọng nhất giúp pin thể rắn an toàn hơn?,C,C,✓,340
442,"Dựa trên tài liệu Public_091, hãy phân tích cấu trúc, nguyên lý, ưu điểm của pin thể rắn so với lithium-ion, nêu ứng dụng thực tế và thách thức.",A,A,✓,493
443,Thách thức chính cản trở thương mại hóa pin thể rắn là gì?,D,D,✓,305
444,"Theo tài liệu Public_091, những xu hướng nghiên cứu nào giúp tăng tính ổn định của pin thể rắn?",A,A,✓,380
445,Điểm đặc trưng của siêu vật liệu so với vật liệu tự nhiên là gì?,B,B,✓,528
446,Công nghệ nào trong mạng 6G tận dụng siêu vật liệu để tăng vùng phủ sóng?,C,C,✓,286
447,"Giải thích cấu trúc, nguyên lý và ứng dụng siêu vật liệu trong điều khiển sóng điện từ và mạng 6G.",A,A,✓,717
448,Thách thức lớn nhất hiện nay khi thương mại hóa siêu vật liệu?,D,D,✓,417
449,"Theo tài liệu Public_092, xu hướng nào hứa hẹn tối ưu hoạt động RIS trong 6G?",A,A,✓,244
450,Điểm khác biệt chính của máy tính quang học so với điện tử?,B,B,✓,444
451,Thành phần nào cho phép thực hiện phép nhân–cộng ma trận bằng ánh sáng?,D,D,✓,188
452,"Trình bày nguyên lý tính toán bằng photon, lợi ích và ứng dụng trong AI thế hệ mới.",A,A,✓,762
453,Thách thức quan trọng nhất trong sản xuất chip quang?,A,A,✓,440
454,Ứng dụng nào hưởng lợi trực tiếp từ suy luận thời gian thực của photonic computing?,A,A,✓,470
455,Công cụ chính để mô phỏng sự hình thành vũ trụ được thảo luận trong tài liệu Public_094 là gì?,B,B,✓,282
456,"Theo tài liệu Public_094, mô phỏng N-body chủ yếu tái hiện điều gì?",C,C,✓,341
457,"Mô tả mục tiêu, công nghệ mô phỏng và ứng dụng của vũ trụ học tính toán trong nghiên cứu vũ trụ.",A,A,✓,617
458,Thách thức lớn nhất hiện nay của vũ trụ học tính toán là gì?,A,A,✓,284
459,Công nghệ tương lai nào hứa hẹn tăng độ phân giải mô phỏng vũ trụ?,B,B,✓,414
460,Thách thức lớn nhất của Sao Hỏa khiến nước khó tồn tại ở dạng lỏng?,B,B,✓,265
461,Biện pháp nào có thể tạo từ trường nhân tạo cho Sao Hỏa?,D,D,✓,288
462,"Phân tích các phương pháp cải tạo khí hậu Sao Hỏa, công nghệ hỗ trợ và thách thức đạo đức – kỹ thuật.",A,A,✓,726
463,"Theo tài liệu Public_095, công nghệ nào giúp xây dựng cơ sở hạ tầng tự động trên Sao Hỏa?",A,A,✓,190
464,Public_095 thảo luận về những vấn đề đạo đức nào liên quan đến việc terraform Sao Hỏa?,A,A,✓,440
465,Điều kiện cần thiết để quá trình nhiệt hạch xảy ra là gì?,B,B,✓,221
466,Lò phản ứng Tokamak là gì?,A,A,✓,329
467,"Phân tích nguyên lý hoạt động, nhiên liệu, ưu điểm và các công nghệ lò phản ứng nhiệt hạch, đồng thời nêu các thách thức kỹ thuật – kinh tế trong thương mại hóa.",A,A,✓,613
468,Dự án quốc tế nào đang xây dựng lò phản ứng 500 MW ở Pháp?,D,D,✓,62
469,"Theo tài liệu Public_096, thách thức kỹ thuật trọng yếu của nhiệt hạch là gì?",B,B,✓,193
470,Sản phẩm phụ duy nhất của pin nhiên liệu hydro là gì?,B,B,✓,96
471,Ưu điểm lớn của hydro so với pin lithium-ion cho xe tải đường dài?,D,D,✓,314
472,"Giải thích nguyên lý pin nhiên liệu hydro và ứng dụng trong giao thông, đồng thời nêu lợi ích và thách thức hạ tầng.",A,A,✓,625
473,Thách thức lớn nhất để triển khai đại trà giao thông hydro?,A,A,✓,288
